"","PET0","PET1","alpha","power","EN0","EN1","EN","interim_n","N","Method","HR1"
"1",0,0,0,0,NA,NA,NA,NA,166,"log_rank",0.689655172413793
"2",0,0,0,0,NA,NA,NA,NA,166,"simple_rmst",0.689655172413793
"3",0,0,0,0,NA,NA,NA,NA,166,"our_rmst",0.689655172413793
"4",0,0,0,0,NA,NA,NA,NA,172,"log_rank",0.689655172413793
"5",0,0,0,0,NA,NA,NA,NA,172,"simple_rmst",0.689655172413793
"6",0,0,0,0,NA,NA,NA,NA,172,"our_rmst",0.689655172413793
"7",0,0,0,0,NA,NA,NA,NA,178,"log_rank",0.689655172413793
"8",0,0,0,0,NA,NA,NA,NA,178,"simple_rmst",0.689655172413793
"9",0,0,0,0,NA,NA,NA,NA,178,"our_rmst",0.689655172413793
"11",0,0,0,0,NA,NA,NA,NA,184,"log_rank",0.689655172413793
"21",0,0,0,0,NA,NA,NA,NA,184,"simple_rmst",0.689655172413793
"10",0.7158,0.1034,0.0256,0.8026,143.34256,178.12688,160.73472,128,184,"our_rmst",0.689655172413793
"12",0,0,0,0,NA,NA,NA,NA,190,"log_rank",0.689655172413793
"22",0,0,0,0,NA,NA,NA,NA,190,"simple_rmst",0.689655172413793
"101",0.714,0.0978,0.021,0.8108,146.446,184.0342,165.2401,129,190,"our_rmst",0.689655172413793
"13",0,0,0,0,NA,NA,NA,NA,196,"log_rank",0.689655172413793
"23",0,0,0,0,NA,NA,NA,NA,196,"simple_rmst",0.689655172413793
"102",0.7168,0.099,0.0204,0.8028,149.26464,189.5452,169.40492,131,196,"our_rmst",0.689655172413793
"14",0,0,0,0,NA,NA,NA,NA,202,"log_rank",0.689655172413793
"81",0.4828,0.0842,0.045,0.804,160.76888,194.80932,177.7891,117,202,"simple_rmst",0.689655172413793
"91",0.688,0.0922,0.0168,0.802,148.7488,194.86372,171.80626,125,202,"our_rmst",0.689655172413793
"15",0,0,0,0,NA,NA,NA,NA,208,"log_rank",0.689655172413793
"24",0,0,0,0,NA,NA,NA,NA,208,"simple_rmst",0.689655172413793
"103",0.7254,0.0928,0.0176,0.8114,154.61056,201.16992,177.89024,135,208,"our_rmst",0.689655172413793
