Recruit Rate,alpha,power,delta,N,Method,int_n,PET0,PET1,EN
60,0.05,0.8,1.5,187,logrank,95,0.556,0.104,156.640
,,,,187,simple_rmst,107,0.534,0.080,162.456
,,,,187,our_rmst,107,0.736,0.096,153.728
,,,1.6,139,logrank,81,0.520,0.084,121.484
,,,,139,simple_rmst,84,0.538,0.081,121.983
,,,,139,our_rmst,88,0.745,0.099,117.463
,,,1.7,112,logrank,68,0.488,0.076,99.592
,,,,112,simple_rmst,70,0.507,0.082,99.639
,,,,112,our_rmst,76,0.739,0.101,96.869
,0.1,0.85,1.5,157,logrank,93,0.358,0.042,144.200
,,,,157,simple_rmst,107,0.517,0.068,142.385
,,,,157,our_rmst,111,0.658,0.076,140.113
,,,1.6,120,logrank,75,0.314,0.034,112.170
,,,,120,simple_rmst,88,0.511,0.069,110.720
,,,,120,our_rmst,90,0.666,0.077,108.864
,,,1.7,97,logrank,63,0.309,0.035,91.152
,,,,97,simple_rmst,73,0.503,0.070,90.124
,,,,97,our_rmst,77,0.668,0.074,89.582
90,0.05,0.8,1.5,190,logrank,104,0.476,0.082,166.006
,,,,190,simple_rmst,117,0.563,0.089,166.209
,,,,190,our_rmst,117,0.698,0.091,161.187
,,,1.6,145,logrank,79,0.405,0.071,129.292
,,,,145,simple_rmst,91,0.505,0.087,129.016
,,,,145,our_rmst,99,0.710,0.098,126.425
,,,1.7,114,logrank,74,0.396,0.057,104.940
,,,,114,simple_rmst,77,0.505,0.088,103.030
,,,,114,our_rmst,81,0.695,0.099,100.902
,0.1,0.85,1.5,162,logrank,105,0.310,0.034,152.196
,,,,162,simple_rmst,117,0.503,0.073,149.027
,,,,162,our_rmst,127,0.664,0.073,149.099
,,,1.6,125,logrank,88,0.310,0.033,118.655
,,,,125,simple_rmst,95,0.504,0.071,116.375
,,,,125,our_rmst,101,0.660,0.079,116.130
,,,1.7,100,logrank,78.000,0.309,0.031,96.260
,,,,100,simple_rmst,84.000,0.510,0.073,95.336
,,,,100,our_rmst,86.000,0.648,0.085,94.866
